episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
207,0.0,277,0,0.48,7487,0,1,1,0,metric_ff,,-0.03129146620631218,0.573691500001587,1.648094799980754
208,1.0,5,1,0.48,7492,1,1,0,1,metric_ff,,-0.009535657241940498,0.599624299997231,0.8698690999881364
209,0.0,286,0,0.44,7492,0,1,1,0,metric_ff,,-0.029468582943081856,0.6109209000132978,1.6050637000007555
210,0.0,281,0,0.4,7492,0,1,1,0,metric_ff,,-0.020336853340268135,0.6021507999976166,1.6195788999903016
211,1.0,61,1,0.4,7553,0,1,1,0,metric_ff,,-0.01247196365147829,0.6083532000193372,1.0177399000094738
212,1.0,54,1,0.44,7607,0,1,1,0,metric_ff,,-0.032224949449300766,0.5943797999934759,0.9980081999965478
213,1.0,5,1,0.48,7612,1,1,0,1,metric_ff,,-0.02501777932047844,0.6300753999967128,0.8997885000135284
214,1.0,52,1,0.48,7664,0,1,1,0,metric_ff,,-0.03757869452238083,0.5958887999877334,0.9748584999761079
215,1.0,11,1,0.52,7675,0,1,1,0,metric_ff,,-0.00837143138051033,0.5788003999914508,0.871609099995112
216,1.0,67,1,0.56,7742,0,1,1,0,metric_ff,,-0.004844931419938803,0.5739173999754712,1.0075663000170607
217,0.0,292,0,0.52,7742,0,1,1,0,metric_ff,,-0.013670642860233784,0.5704005000006873,1.576832499995362
218,1.0,5,1,0.52,7747,1,1,0,1,metric_ff,,-0.015049952082335949,0.6036516000167467,0.8782431999861728
219,0.0,286,0,0.52,7747,0,1,1,0,metric_ff,,-0.013241935521364212,0.6128424000053201,1.6993213999958243
220,1.0,217,1,0.52,7964,0,1,1,0,metric_ff,,-0.013136259280145168,0.6018119999789633,1.4322609000082593
221,1.0,141,1,0.56,8105,0,1,1,0,metric_ff,,-0.002698153257369995,0.613568300002953,1.2654386000067461
222,0.0,286,0,0.56,8105,0,1,1,0,metric_ff,,-0.0006474010879173875,0.5819904000090901,1.5933479999948759
223,1.0,114,1,0.56,8219,0,1,1,0,metric_ff,,-0.014707276597619057,0.5924635999836028,1.1808033999986947
224,1.0,78,1,0.6,8297,0,1,1,0,metric_ff,,-0.006282605696469545,0.612680399994133,1.0841284000198357
